codigo,nombre,hombre_casos,hombre_porciento,mujer_casos,mujer_porciento,total_casos,total_porciento
66|4,La Virginia,3,61.05,9,184.12,12,122.42
66|44,Marsella,1,28.21,5,147.49,6,86.52
66|001,Pereira,49,76.84,54,88.72,103,82.64
66|682,Santa Rosa de Cabal,3,27.28,1,9.53,4,18.61
66|687,Santuario,0,0,1,40.62,1,19.81
68,Santander,238,76.89,237,80.57,475,78.68
68|051,Aratoca,2,142.76,2,168.07,4,154.38
68|077,Barbosa,5,108.55,2,46.92,7,78.93
68|081,Barrancabermeja,28,95.55,27,97.68,55,96.58
68|101,Bolívar,0,0,3,141.91,3,70.52
68|001,Bucaramanga,72,102.92,68,101.53,140,102.24
68|147,Capitanejo,2,240.96,2,249.07,4,244.95
68|162,Cerrito,1,105.71,0,0,1,53.48
68|19,Cimitarra,4,45.88,6,73.34,10,59.17
68|207,Concepción,1,127.06,1,130.89,2,128.95
68|217,Coromoro,1,77.58,0,0,1,39.94
68|235,El Carmen de Chucurí,0,0,1,31.93,1,15.44
68|245,El Guacamayo,0,0,1,350.88,1,168.63
68|255,El Playón,1,45.52,0,0,1,24.35
68|264,Encino,2,476.19,0,0,2,259.07
68|266,Enciso,0,0,1,211.86,1,104.71
68|276,Floridablanca,36,101.92,28,84,64,93.22
68|298,Gámbita,0,0,1,119.76,1,58.28
68|307,Girón,23,82.15,18,66.64,41,74.53
68|318,Guaca,0,0,1,104.06,1,53.62
68|32,Guadalupe,1,119.19,0,0,1,60.28
68|327,Güepsa,2,349.65,0,0,2,178.09
68|377,La Belleza,0,0,1,73.05,1,34.93
68|397,La Paz,0,0,1,135.5,1,65.06
68|385,Landázuri,1,35.39,0,0,1,18.39
68|406,Lebrija,6,89.66,3,48.05,9,69.58
68|418,Los Santos,2,98.43,2,106.78,4,102.43
68|432,Málaga,2,74.27,4,152.61,6,112.91
68|444,Matanza,0,0,2,250.31,2,122.77
68|498,Ocamonte,0,0,1,137.17,1,65.83
68|5,Oiba,0,0,1,48.97,1,23.8
68|502,Onzaga,0,0,1,114.81,1,56.72
68|533,Páramo,0,0,2,265.96,2,129.12
68|547,Piedecuesta,13,57.49,17,78.04,30,67.58
68|572,Puente Nacional,0,0,3,169.01,3,82.21
68|573,Puerto Parra,2,122.32,4,264.73,6,190.72
